                [STATISTICS]
        most to least similar:
199 iloko_occitan : 0.645930
200 galician_malayalam : 0.645589
201 irish_galician : 0.645466
202 galician_malagasy : 0.645170
203 lithuanian_malagasy : 0.645132
204 persian_italian : 0.645094
205 bulgarian_irish : 0.644760
206 bashkir_persian : 0.644682
207 frisian_polish : 0.644535
208 welsh_frisian : 0.644519
209 bulgarian_german : 0.644287
210 german_latvian : 0.644256
211 estonian_occitan : 0.644133
212 spanish_finnish : 0.644106
213 afrikaans_finnish : 0.643894
214 spanish_polish : 0.643885
215 galician_hebrew : 0.643710
216 hausa_italian : 0.643553
217 bulgarian_estonian : 0.643511
218 czech_indonesian : 0.643422
219 greek_polish : 0.643299
220 irish_hungarian : 0.643144
221 hindi_lithuanian : 0.643079
222 danish_haitian : 0.643071
223 estonian_gaelic : 0.643037
224 frisian_italian : 0.642945
225 persian_irish : 0.642937
226 welsh_norwegian : 0.642804
227 czech_galician : 0.642474
228 azerbaijani_finnish : 0.642223
229 bashkir_macedonian : 0.642182
230 indonesian_javanese : 0.642048
231 finnish_macedonian : 0.641964
232 welsh_iloko : 0.641788
233 bulgarian_persian : 0.641594
234 afrikaans_hungarian : 0.641477
235 spanish_dutch : 0.641390
236 gujarati_nepali : 0.641361
237 hindi_malayalam : 0.641146
238 icelandic_norwegian : 0.641012
239 welsh_polish : 0.640971
240 breton_welsh : 0.640935
241 irish_lithuanian : 0.640420
242 asturian_hebrew : 0.640250
243 azerbaijani_malagasy : 0.640060
244 finnish_hungarian : 0.639963
245 finnish_latvian : 0.639934
246 latvian_norwegian : 0.639934
247 bashkir_italian : 0.639905
248 catalan_english : 0.639882
249 czech_estonian : 0.639603
250 danish_malayalam : 0.639025
251 persian_croatian : 0.638984
252 azerbaijani_croatian : 0.638954
253 gujarati_malayalam : 0.638911
254 french_latvian : 0.638878
255 finnish_malayalam : 0.638749
256 asturian_polish : 0.638365
257 italian_latvian : 0.638107
258 czech_malagasy : 0.638040
259 bulgarian_french : 0.638009
260 czech_lithuanian : 0.638008
261 hungarian_malagasy : 0.637726
262 catalan_german : 0.637347
263 czech_french : 0.637294
264 hungarian_polish : 0.637215
265 czech_finnish : 0.637193
266 english_finnish : 0.637105
267 galician_armenian : 0.637093
268 frisian_macedonian : 0.636955
269 occitan_polish : 0.636808
270 german_lithuanian : 0.636567
271 finnish_malagasy : 0.636566
272 greek_italian : 0.636487
273 asturian_latvian : 0.636398
274 dutch_occitan : 0.636392
275 haitian_occitan : 0.636359
276 persian_galician : 0.636307
277 welsh_hungarian : 0.636296
278 hindi_norwegian : 0.636065
279 hindi_dutch : 0.636027
280 azerbaijani_macedonian : 0.635898
281 bulgarian_hindi : 0.635775
282 estonian_hebrew : 0.635578
283 croatian_occitan : 0.635491
284 danish_estonian : 0.635490
285 bashkir_czech : 0.635401
286 asturian_finnish : 0.635395
287 bashkir_gaelic : 0.635106
288 latvian_macedonian : 0.635024
289 danish_french : 0.634943
290 spanish_croatian : 0.634810
291 galician_nepali : 0.634806
292 danish_finnish : 0.634787
293 indonesian_dutch : 0.634706
294 croatian_dutch : 0.634477
295 afrikaans_spanish : 0.634348
296 catalan_iloko : 0.634292
297 latvian_malagasy : 0.634071
298 afrikaans_occitan : 0.634009
299 gaelic_lithuanian : 0.633930
300 afrikaans_macedonian : 0.633912
301 estonian_croatian : 0.633861
302 welsh_spanish : 0.633804
303 french_iloko : 0.633611
304 azerbaijani_estonian : 0.633580
305 german_macedonian : 0.633557
306 irish_hausa : 0.633461
307 czech_german : 0.633166
308 french_malagasy : 0.633057
309 gujarati_lithuanian : 0.633026
310 finnish_nepali : 0.632972
311 english_galician : 0.632918
312 german_finnish : 0.632904
313 german_gaelic : 0.632521
314 danish_italian : 0.632366
315 welsh_danish : 0.632332
316 catalan_polish : 0.632308
317 haitian_italian : 0.632292
318 malayalam_norwegian : 0.632290
319 azerbaijani_hindi : 0.632176
320 czech_welsh : 0.632132
321 estonian_galician : 0.632019
322 frisian_irish : 0.631979
323 persian_french : 0.631959
324 asturian_estonian : 0.631820
325 welsh_malagasy : 0.631739
326 bulgarian_nepali : 0.631618
327 galician_indonesian : 0.631503
328 nepali_occitan : 0.631240
329 bengali_marathi : 0.631170
330 hindi_malagasy : 0.631160
331 gaelic_hindi : 0.630915
332 danish_galician : 0.630854
333 haitian_latvian : 0.630572
334 welsh_finnish : 0.630359
335 danish_indonesian : 0.630192
336 german_malayalam : 0.630121
337 spanish_haitian : 0.630035
338 estonian_punjabi : 0.629967
339 croatian_latvian : 0.629860
340 indonesian_italian : 0.629844
341 asturian_dutch : 0.629752
342 persian_hungarian : 0.629743
343 iloko_nepali : 0.629727
344 italian_punjabi : 0.629689
345 welsh_croatian : 0.629584
346 bashkir_croatian : 0.629410
347 asturian_malayalam : 0.629348
348 azerbaijani_indonesian : 0.629174
349 spanish_estonian : 0.629166
350 bulgarian_greek : 0.629158
351 czech_latvian : 0.629050
352 spanish_hindi : 0.628845
353 marathi_punjabi : 0.628817
354 macedonian_occitan : 0.628718
355 finnish_frisian : 0.628690
356 bulgarian_finnish : 0.628577
357 bulgarian_lithuanian : 0.628413
358 english_polish : 0.628385
359 czech_spanish : 0.628309
360 haitian_norwegian : 0.628178
361 bashkir_finnish : 0.628127
362 armenian_malayalam : 0.628118
363 german_occitan : 0.628020
364 croatian_lithuanian : 0.627932
365 bashkir_catalan : 0.627754
366 bashkir_welsh : 0.627720
367 catalan_norwegian : 0.627589
368 azerbaijani_marathi : 0.627467
369 armenian_italian : 0.627400
370 asturian_malagasy : 0.627326
371 greek_estonian : 0.627317
372 galician_latvian : 0.627250
373 icelandic_lithuanian : 0.627170
374 asturian_croatian : 0.627153
375 welsh_mongolian : 0.627074
376 danish_gaelic : 0.627056
377 afrikaans_polish : 0.626982
378 welsh_icelandic : 0.626813
379 finnish_iloko : 0.626681
380 breton_frisian : 0.626585
381 bulgarian_malagasy : 0.626543
382 lithuanian_norwegian : 0.626478
383 bengali_malayalam : 0.626464
384 haitian_icelandic : 0.626323
385 greek_nepali : 0.626300
386 bulgarian_hausa : 0.626250
387 spanish_icelandic : 0.626229
388 persian_malayalam : 0.626185
389 english_hindi : 0.626168
390 hebrew_macedonian : 0.626068
391 georgian_malayalam : 0.626047
392 french_frisian : 0.626043
393 estonian_malayalam : 0.625904
394 czech_hungarian : 0.625857
395 estonian_icelandic : 0.625640
396 hebrew_polish : 0.625637
397 nepali_dutch : 0.625570
398 hungarian_indonesian : 0.625544
399 estonian_dutch : 0.625406
400 english_italian : 0.625320
401 catalan_hungarian : 0.625179
402 azerbaijani_lithuanian : 0.625159
403 frisian_croatian : 0.625121
404 macedonian_malayalam : 0.625025
405 gaelic_polish : 0.624954
406 gujarati_latvian : 0.624871
407 afrikaans_welsh : 0.624830
408 bengali_dutch : 0.624784
409 icelandic_polish : 0.624416
410 spanish_hebrew : 0.624283
411 czech_norwegian : 0.624272
412 spanish_georgian : 0.624178
413 gaelic_latvian : 0.624048
414 bulgarian_gaelic : 0.623909
415 italian_javanese : 0.623892
416 spanish_persian : 0.623884
417 spanish_lithuanian : 0.623871
418 georgian_macedonian : 0.623673
419 greek_lithuanian : 0.623548
420 english_indonesian : 0.623517
421 spanish_latvian : 0.623453
422 danish_hungarian : 0.623217
423 irish_hebrew : 0.623164
